"Date update","Lookup field name","Lookup reference field name","Missing parent External Id value","Parent ExternalId field name","Parent SObject name","Record Id","sObject name"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Vertex Digital","Name","Account","71IQ2F8L8CELE0PFY3","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Pinnacle Networks","Name","Account","XGRX71ZF2MPKZFSNK4","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Meridian Technologies","Name","Account","3PUNWDX5EVVZ5EIPNT","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Meridian Capital","Name","Account","HTFUNIXCPYVGYZENK4","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Nexus Analytics","Name","Account","SEP8QJB9IWHSS1BUOD","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Nova Dynamics","Name","Account","LMMXSFPLPM91MAAJQT","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Atlas Solutions","Name","Account","TLAXU0HHWTBCTICMWW","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Ember Dynamics","Name","Account","UPZOEOYLCMZNDL7YIZ","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Stellar Innovations","Name","Account","C0DMFAB5IFDOCBPJWV","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Summit Corp","Name","Account","RKS56QBKCITJQEHP4E","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Catalyst Group","Name","Account","OPUUROZYXB5CNDDK8H","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Stellar Services","Name","Account","F7MTIK9MH3Y49BR6IY","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Cobalt Partners","Name","Account","QNW0WZGOOEQ8GKEAPI","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Ember Systems","Name","Account","BKF4WBAW3XSJHO9AM4","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Pulse Corp","Name","Account","KKK5TPSAFKDV7O6OEO","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Stratos Partners","Name","Account","9DM7FGCOFPHTKHY3LV","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Flux Networks","Name","Account","2HQIQELTDTJIK4MLGH","Opportunity"
"2026-03-08  20:43:41.908","AccountId","Account.Name","Horizon Industries","Name","Account","N8CEL4PWPFCGY1L1YH","Opportunity"
